,COMBINED ADDRESS,USE TYPES,# OF UNITS,BUILDING SQFT,LAND SQFT,YEAR BUILT,EFFECTIVE YEAR BUILT
36,6181 BARROWS DR LOS ANGELES CA 90048-5301,Single Family Residence,1,"2,118","7,500",1928,1929
37,401 S SAN PEDRO ST LOS ANGELES CA 90013-2118,Commercial,0,"4,372","2,420",1905,1915
38,4707 2ND AVE LOS ANGELES CA 90043-1457,Single Family Residence,1,"1,354","6,500",1914,1955
39,5443 CARLTON WAY LOS ANGELES CA 90027-4804,Single Family Residence,,0,,,
40,534 W REDONDO BEACH BLVD LOS ANGELES CA 90248-1637,Industrial,0,"9,960","40,000",1962,1962
41,534 W REDONDO BEACH BLVD LOS ANGELES CA 90248-1637,Industrial,0,"9,960","40,000",1962,1962
42,5035 TENDILLA AVE LOS ANGELES CA 91364-1826,Single Family Residence,1,"2,665","7,100",2000,2000
43,11840 DOROTHY ST LOS ANGELES CA 90049-5433,Multi-Family Residence,,0,,,
44,625 WALTHER WAY LOS ANGELES CA 90049-2314,Single Family Residence,1,"8,446","31,296",1948,1978
45,527 TOYOPA DR LOS ANGELES CA 90272-4470,Single Family Residence,1,"4,317","8,165",1950,1970
46,7425 W SUNSET BLVD LOS ANGELES CA 90046-3403,Commercial,0,"10,680","9,780",1921,1990
47,2122 SELBY AVE LOS ANGELES CA 90025-6312,Single Family Residence,1,"1,720","5,400",1924,1947
48,4329 LIMA ST LOS ANGELES CA 90011-3820,Single Family Residence,1,"1,450","5,360",1908,1908
49,910 NORDICA DR LOS ANGELES CA 90065-4213,Single Family Residence,1,"2,375",,2002,2002
50,7051 S LA CIENEGA BLVD LOS ANGELES CA 90045-2014,Multi-Family Residence,2,"1,871","7,200",1950,1950
51,4238 NOELINE AVE LOS ANGELES CA 91436-3330,Single Family Residence,1,"3,232","14,400",1962,1975
52,1338 DAWNRIDGE DR LOS ANGELES CA 90210-2215,Single Family Residence,,0,,,
53,1310 ARMACOST AVE LOS ANGELES CA 90025-1409,Multi-Family Residence,,0,,,
54,1375 GOUCHER ST PACIFIC PALISADES CA 90272-2622,Single Family Residence,1,"11,596",,2005,2005
55,2524 LINCOLN BLVD LOS ANGELES CA 90291-5043,Commercial,0,"2,244","3,680",1951,1990
56,8900 DE SOTO AVE CHATSWORTH CA 91311-0000,Industrial,0,"129,114","1,860,624",1986,1986
57,8101 COLEGIO DR LOS ANGELES CA 90045-2401,Single Family Residence,1,"3,891","5,390",2006,2007
58,4180 VERDUGO VIEW DR LOS ANGELES CA 90065-4316,Single Family Residence,1,"2,108","4,950",1947,1960
59,21747 ERWIN ST LOS ANGELES CA 91367-3608,Commercial,,0,,,
60,140 HOMEWOOD RD LOS ANGELES CA 90049-2708,Single Family Residence,1,"6,984","17,550",2012,2012
61,14435 SHERMAN WAY LOS ANGELES CA 91405-2331,Commercial,0,"23,222","77,840",1978,1978
62,10110 CIELO DR LOS ANGELES CA 90210-2037,Single Family Residence,1,"3,017","23,985",2015,2015
63,735 W LA CROSSE ST GLENDORA CA 91741-1973,Single Family Residence,1,"2,412","13,534",1976,1977
64,1225 JAMES M WOOD BLVD LOS ANGELES CA 90015-1231,Commercial,0,"14,721","8,400",1926,1930
65,6700 MELROSE AVE LOS ANGELES CA 90038-3412,Commercial,0,"3,373",,1946,1946
66,18340 ARMINTA ST LOS ANGELES CA 91335-2010,Single Family Residence,1,"2,552","21,900",1940,1981
67,11000 SHERMAN WAY NORTH HOLLYWOOD CA 91605-0000,Industrial,0,"1,456",,1879,1855
68,11479 SAN FERNANDO RD LOS ANGELES CA 91340-3411,Commercial,0,"13,032",,1973,1973
69,6585 COLGATE AVE LOS ANGELES CA 90048-4410,Single Family Residence,1,"2,262","6,250",1930,1930
70,5216 VENICE BLVD LOS ANGELES CA 90019-5236,Commercial,1,"1,876",,1957,1957
71,1225 JAMES M WOOD BLVD LOS ANGELES CA 90015-1231,Commercial,0,"14,721","8,400",1926,1930
72,1580 INDUSTRIAL ST LOS ANGELES CA 90021-1218,Industrial,0,"21,040",,,1966
73,216 S LARCHMONT BLVD LOS ANGELES CA 90004-3711,Single Family Residence,1,"2,721","10,676",1921,1938
74,5850 SEPULVEDA BLVD LOS ANGELES CA 91411-2507,Commercial,0,"13,730",,1962,1980
75,10817 SANTA MONICA BLVD LOS ANGELES CA 90025-4655,Commercial,0,"5,235",,1980,1980
76,5274 ALDAMA ST LOS ANGELES CA 90042-3262,Single Family Residence,1,"3,151","14,100",1912,1915
