,COMBINED ADDRESS,USE TYPES,# OF UNITS,BUILDING SQFT,LAND SQFT,YEAR BUILT,EFFECTIVE YEAR BUILT
26,27336 EASTVALE RD PALOS VERDES PNSLA CA 90274-4017,Single Family Residence,1,"2,401","22,386",1955,1980
27,956 SEPULVEDA BLVD HARBOR CITY CA 90710-1405,Commercial,0,"30,351",,1966,1966
28,23730 SANDHURST LN HARBOR CITY CA 90710-1419,Single Family Residence,1,"2,082","8,740",1969,1969
29,2744 WILLOWHAVEN DR LA CRESCENTA CA 91214-1453,Single Family Residence,1,"2,292","8,162",1967,1967
30,"208 ESPERANZA AVE, 208 LONG BEACH CA 90802-3641",Condominium,1,799,,1949,1949
31,2210 E 85TH ST LOS ANGELES CA 90001-4110,Industrial,,0,"7,100",,
32,229 CLOGSTON DR LA PUENTE CA 91746-1818,Single Family Residence,1,"1,832","6,300",1951,1963
33,2644 LA CIENEGA AVE LOS ANGELES CA 90034-2641,Commercial,0,360,"2,500",1938,1938
34,24255 ABBEYWOOD DR LOS ANGELES CA 91307-1249,Single Family Residence,1,"3,393","8,772",1997,1997
35,"20 38TH PL, 20 LONG BEACH CA 90803-8604",Condominium,1,"1,503",,1990,1990
36,1461 S DOWNEY RD LOS ANGELES CA 90023-4022,Single Family Residence,1,816,"6,400",1924,1924
37,4074 E OLYMPIC BLVD LOS ANGELES CA 90023-3332,Commercial,0,400,"10,965",,1947
38,4431 -33 W 169TH ST LAWNDALE CA 90260-3252,Multi-Family Residence,2,"1,768",,1969,1969
39,2208 S PALM GROVE AVE LOS ANGELES CA 90016-2320,Single Family Residence,1,"1,567","4,560",1925,1930
40,10262 SIERRA HWY SAUGUS CA 91390-4628,Agricultural,1,"1,532","708,000",1915,1990
41,9146 HUNTINGTON DR SAN GABRIEL CA 91775-1357,Multi-Family Residence,17,"12,728",,1962,1962
42,711 W KNOX ST GARDENA CA 90248-4410,Industrial,,0,,,
43,5009 PARKGLEN AVE LOS ANGELES CA 90043-1014,Single Family Residence,1,"1,720","6,156",1951,1952
44,3900 CITY TERRACE DR LOS ANGELES CA 90063-1241,Commercial,1,"1,806",,1969,1975
45,6764 KARIN PL SAN GABRIEL CA 91775-1107,Single Family Residence,1,"2,147","11,780",1950,1954
46,4441 LA CRESCENTA AVE LA CRESCENTA CA 91214-3526,Commercial,0,"10,800","10,912",1981,1981
47,4333 ADMIRALTY WAY MARINA DEL REY CA 90292-5469,Multi-Family Residence,89,"140,378",,1970,1970
48,9451 MARLEY WAY LOS ANGELES CA 91343-7841,Condominium,1,"1,805","2,280",2006,2006
49,4456 LA GRANADA WAY LA CANAD-FLNTRDG CA 91011-2955,Single Family Residence,1,"1,592","8,400",1946,1952
50,27534 SUNNYRIDGE RD PALOS VERDES PEN CA 90274-4041,Single Family Residence,1,"5,179","39,566",1958,1986
51,1100 W 106TH ST LOS ANGELES CA 90044-3050,Multi-Family Residence,10,"7,540","9,200",1963,1980
52,42913 45TH ST W LANCASTER CA 93536-5018,Single Family Residence,1,"1,966","54,450",1969,1969
53,16719 WING LN LA PUENTE CA 91744-4240,Single Family Residence,1,"1,645","7,169",1961,1971
54,15034 S AVALON BLVD COMPTON CA 90220-2517,Commercial,0,"2,872",,1960,1960
55,9601 S VERMONT AVE LOS ANGELES CA 90044-3217,Commercial,1,"3,366","3,364",1922,1935
56,3310 PUNTA DEL ESTE DR HACIENDA HEIGHTS CA 91745-6632,Single Family Residence,1,"2,336","14,040",1974,1974
57,4002 N YALETON AVE COVINA CA 91722-3827,Single Family Residence,1,"1,381","7,371",1950,1952
58,1154 LA ROSA RD ARCADIA CA 91007-6144,Single Family Residence,1,"1,809","10,950",1951,1954
59,710 S FERRIS AVE LOS ANGELES CA 90022-2516,Multi-Family Residence,2,"1,560",,1925,1925
60,5515 AGOURA GLEN DR AGOURA HILLS CA 91301-3311,Single Family Residence,1,"1,360","5,544",1970,1970
61,"12330 OSBORNE ST, UNIT 91 LOS ANGELES CA 91331-2063",Condominium,1,"1,240",,1981,1981
62,2365 ANNADEL AVE ROWLAND HEIGHTS CA 91748-4010,Single Family Residence,1,"1,889","30,624",1977,1977
63,8011 LINWALT ST SOUTH SAN GABRIEL CA 91770-3961,Single Family Residence,1,"1,703","12,750",1990,1990
64,3545 E 1ST ST LOS ANGELES CA 90063-4141,Industrial,0,"6,700",,1920,1924
65,49250 52ND ST W LANCASTER CA 93536-9509,Single Family Residence,1,"1,230","89,700",1957,1957
66,10410 S WESTERN AVE LOS ANGELES CA 90047-4455,Vacant Land,,0,,,
67,32433 MICHIGAN AVE ACTON CA 93510-1857,Single Family Residence,1,"3,433","113,750",1992,1992
68,3675 HUNTINGTON DR PASADENA CA 91107-5645,Commercial,0,"21,000",,1980,1980
69,19501 S SANTA FE AVE COMPTON CA 90221-5913,Industrial,0,"68,800","205,193",1957,1969
70,"208 ESPERANZA AVE, 208 LONG BEACH CA 90802-3641",Condominium,1,799,,1949,1949
71,5823 EDMUND AVE LA CRESCENTA CA 91214-1514,Single Family Residence,1,"2,941","7,500",1958,1983
72,2178 FIRESTONE BLVD LOS ANGELES CA 90002-1544,Vacant Land,,0,,,
73,14839 ADDISON ST LOS ANGELES CA 91403-1604,Single Family Residence,1,"1,584","6,750",1952,1965
74,3851 GILLESPIE AVE ACTON CA 93510-1940,Single Family Residence,1,"1,881","43,800",1992,1992
75,11316 -18 DALEROSE AVE HAWTHORNE CA 90304-2622,Multi-Family Residence,2,"1,404","5,207",1950,1951
76,"100 S ALAMEDA ST, NO 167 LOS ANGELES CA 90012-3932",Condominium,1,"1,213",,2005,2005
77,16280 GASPE ST CANYON COUNTRY CA 91351-1438,Single Family Residence,,0,,,
78,552 S GERHART AVE LOS ANGELES CA 90022-2726,Multi-Family Residence,2,"1,056",,1953,1953
79,123 W HARRIET ST ALTADENA CA 91001-5037,Single Family Residence,1,"1,400","5,360",1925,1927
80,902 SEPULVEDA BLVD HARBOR CITY CA 90710-1405,Commercial,0,"77,000",,1966,1966
81,2719 GARONA DR HACIENDA HEIGHTS CA 91745-6645,Single Family Residence,1,"2,780","10,900",1973,1973
82,10727 S INGLEWOOD AVE INGLEWOOD CA 90304-1711,Commercial,6,"8,510",,1956,1956
83,2257 W AVENUE N PALMDALE CA 93551-2339,Single Family Residence,1,"1,377","107,100",1953,1954
84,10951 SIERRA HWY AGUA DULCE CA 91390-4634,Single Family Residence,1,"2,370","86,580",1991,1991
85,"1012 PALO VERDE AVE, #1012 LONG BEACH CA 90815-4663",Single Family Residence,1,"2,176","2,184",1973,1973
86,1900 SYCAMORE CANYON RD SAN DIMAS CA 91773-1220,Other Property Type,1,"2,738",,2000,2000
87,17568 CAMINO DE YATASTO LOS ANGELES CA 90272-2012,Single Family Residence,1,"5,650","42,500",1981,1982
88,16556 EMBER GLEN RD HACIENDA HEIGHTS CA 91745-3741,Single Family Residence,1,"2,289","5,814",1972,1972
89,102 JANINE DR LA HABRA CA 90631-8336,Single Family Residence,1,"2,014","10,230",1962,1962
90,9451 MARLEY WAY LOS ANGELES CA 91343-7841,Condominium,1,"1,805","2,280",2006,2006
91,24255 ABBEYWOOD DR LOS ANGELES CA 91307-1249,Single Family Residence,1,"3,393","8,772",1997,1997
92,1161 SEPULVEDA BLVD TORRANCE CA 90502-2754,Industrial,0,"6,000","42,510",1951,1953
93,3485 BELLE RIVER DR HACIENDA HEIGHTS CA 91745-6115,Single Family Residence,1,"2,552","9,628",1978,1978
94,1731 W 120TH ST LOS ANGELES CA 90047-5205,Multi-Family Residence,4,"2,316","9,200",1961,1961
95,3637 WINTER CANYON RD MALIBU CA 90265-4834,Other Property Type,,0,,,
96,4209 LA MADERA AVE EL MONTE CA 91732-2005,Multi-Family Residence,1,"1,031","23,290",1953,1953
97,431 S BERKELEY AVE PASADENA CA 91107-5063,Single Family Residence,1,"3,438","8,220",1927,1927
98,46665 70TH ST E LANCASTER CA 93535-7834,Single Family Residence,0,0,"423,720",1966,1966
99,41011 15TH ST W PALMDALE CA 93551-2131,Single Family Residence,1,"1,708","55,945",1977,1977
100,1207 E 58TH PL LOS ANGELES CA 90001-1107,Industrial,0,"5,650","5,700",1941,1943
101,5342 W 123RD ST HAWTHORNE CA 90250-3421,Single Family Residence,1,"1,758","4,968",1950,1951
102,32132 CANYON RIDGE DR WESTLAKE VILLAGE CA 91361-4824,Single Family Residence,1,"2,685",,1987,1987
103,1700 W 120TH ST LOS ANGELES CA 90047-5203,Single Family Residence,1,"2,166","6,860",1970,1970
104,4201 TOPANGA CYN BL SP 125 WOODLAND HILLS CA* CA 91367-0000,Manufactured Home-In Park,0,"1,040",,,2000
105,4407 LA CLEDE AVE LOS ANGELES CA 90039-1232,Multi-Family Residence,2,"1,371","5,250",1959,1959
106,2327 JANET LEE DR LA CRESCENTA CA 91214-2209,Single Family Residence,1,"2,292","13,803",1957,1960
107,545 E LAS FLORES DR ALTADENA CA 91001-1625,Single Family Residence,1,"1,676","10,360",1953,1957
108,1525 10TH ST MANHATTAN BEACH CA 90266-6103,Single Family Residence,1,972,"7,500",1952,1952
109,3787 E 3RD ST LOS ANGELES CA 90063-2405,Commercial,2,"1,031","3,000",1926,1926
110,"110 W 6TH ST, NO 221 LONG BEACH CA 90802-1352",Condominium,1,560,,1987,1987
111,4757 LA CANADA BLVD LA CANADA FLT CA 91011-2204,Single Family Residence,1,"2,870","14,060",1956,1960
112,3965 S VERMONT AVE LOS ANGELES CA 90037-1937,Commercial,,0,,,
113,4342 E AVENUE Q11 PALMDALE CA 93552-3073,Single Family Residence,1,"1,490","7,616",1995,1995
114,1185 E CALAVERAS ST ALTADENA CA 91001-2533,Single Family Residence,1,"2,656","22,500",1924,1946
115,540 W WOODBURY RD ALTADENA CALIF 91001-0000,Commercial,,0,,,
116,5124 W EL SEGUNDO BLVD HAWTHORNE CA 90250-4160,Multi-Family Residence,6,"4,577",,1957,1957
117,6194 E 6TH ST LONG BEACH CA 90803-2114,Single Family Residence,1,"2,331","6,136",1960,1960
118,1342 RUBIO VISTA RD ALTADENA CA 91001-1536,Single Family Residence,1,"1,674","21,630",1972,1972
119,"3800 STOCKER ST, NO 1 LOS ANGELES CA 90008-5119",Condominium,1,"1,559",,1984,1984
120,36450 116TH ST E LITTLEROCK CA 93543-2407,Single Family Residence,1,"1,327","122,740",1955,1968
121,18711 CEDAR VALLEY WAY SANTA CLARITA CA 91321-2261,Single Family Residence,1,"1,460","16,330",1981,1981
122,2630 OLD TOPANGA CANYON RD TOPANGA CA 90290-4123,Single Family Residence,1,"1,539","72,200",1992,1992
123,3102 MARKRIDGE RD LA CRESCENTA CA 91214-1332,Single Family Residence,1,"1,647","10,010",1963,1975
124,433 ENCINAL CANYON RD MALIBU CA 90265-2404,Other Property Type,,0,,,
125,2233 MIDWICK DR ALTADENA CA 91001-2828,Single Family Residence,1,"2,801","20,400",1964,1964
126,5050 ROSEMONT AVE LA CRESCENTA CA 91214-2127,Single Family Residence,1,"2,249","20,130",1937,1939
127,394 BONITA AVE PASADENA CA 91107-5002,Single Family Residence,1,"1,350","5,450",1931,1931
128,6560 TEMPLE CITY BLVD ARCADIA CA 91007-7873,Single Family Residence,1,"1,340","5,082",1962,1970
129,103 MERRY OAK LN WESTLAKE VILLAGE CA 91361-4807,Single Family Residence,1,"1,368","4,234",1976,1976
130,5405 AMBER CIR CALABASAS CA 91302-3144,Single Family Residence,1,"6,252","15,228",1991,1991
131,1145 E ALTADENA DR ALTADENA CA 91001-2001,Single Family Residence,1,"3,286","22,600",1923,1923
132,14893 SUNNYDALE DR ELIZABETH LK CA 93532-1216,Single Family Residence,1,"1,718","5,565",1989,1989
133,13683 ALLEGAN ST WHITTIER CA 90605-3424,Single Family Residence,1,"1,228","8,840",1954,1954
134,23275 BLYTHE ST LOS ANGELES CA 91304-4415,Single Family Residence,1,"2,424","11,220",1965,1965
135,3302 COLD PLAINS DR HACIENDA HEIGHTS CA 91745-6328,Single Family Residence,1,"2,340","6,201",1969,1969
136,16530 OLD FOREST RD HACIENDA HEIGHTS CA 91745-3746,Single Family Residence,1,"2,125","5,814",1972,1972
137,20008 NORMANDIE AVE TORRANCE CA 90502-1210,Industrial,0,"23,940",,1963,1963
138,2835 LETICIA DR HACIENDA HEIGHTS CA 91745-6033,Single Family Residence,1,"1,897","11,008",1960,1964
139,10310 LUNDENE DR WHITTIER CA 90601-2031,Single Family Residence,1,"1,797","8,379",1960,1960
140,13204 E AVENUE W6 PEARBLOSSOM CA 93553-3225,Single Family Residence,1,"1,337","85,800",1948,1952
141,27240 TURNBERRY LN VALENCIA CA 91355-0000,Commercial,,0,,,
142,1201 NEW YORK DR ALTADENA CA 91001-3145,Single Family Residence,1,"3,215","20,000",1926,1926
143,25818 ANDERSON LN STEVENSON RANCH CA 91381-1226,Single Family Residence,1,"1,589","5,712",1993,1993
144,18037 MESCAL ST ROWLAND HEIGHTS CA 91748-4310,Single Family Residence,1,"1,774","9,125",1962,1973
145,20522 STARSHINE RD WALNUT CA 91789-3541,Single Family Residence,1,"2,932","9,630",1974,1988
146,2370 GLEN CANYON RD ALTADENA CA 91001-3550,Single Family Residence,1,"2,095","9,639",1942,1949
147,11637 RIDGEGATE DR WHITTIER CA 90601-1791,Single Family Residence,1,"3,218","10,804",1986,1986
148,606 E POPPYFIELDS DR ALTADENA CA 91001-1922,Single Family Residence,1,"1,356","8,918",1925,1925
149,11852 160TH ST NORWALK CA 90650-7153,Single Family Residence,1,"1,008","5,000",1958,1958
150,2131 MADISON AVE ALTADENA CA 91001-3017,Multi-Family Residence,1,936,,1927,1927
151,11860 MACODA LN CHATSWORTH CA 91311-1271,Single Family Residence,1,"7,596","37,647",1992,1997
152,20405 HUNTCLIFF LN WALNUT CA 91789-3545,Single Family Residence,1,"2,342","8,700",1972,1972
153,635 E MENDOCINO ST ALTADENA CA 91001-2336,Single Family Residence,1,"2,631","9,000",1926,1926
154,3403 CLOUDCROFT DR MALIBU CA 90265-5631,Single Family Residence,1,"1,787","14,615",1965,1965
155,17000 ADDISON ST LOS ANGELES CA 91316-3434,Single Family Residence,1,"3,092","5,250",1976,1976
156,15418 S HASKINS AVE COMPTON CA 90220-3215,Single Family Residence,1,"1,067","5,100",1956,1956
157,10751 CERES AVE WHITTIER CA 90604-2547,Single Family Residence,1,"1,014","8,509",1953,1953
158,3175 ALAMEDA ST PASADENA CA 91107-2905,Single Family Residence,1,984,"5,684",1937,1937
159,27202 TURNBERRY LN VALENCIA CA 91355-1022,Industrial,0,"1,520",,1981,1981
160,4640 LA CRESCENTA AVE LA CRESCENTA CA 91214-2916,Single Family Residence,1,"2,129","7,315",1957,1957
161,2225 E CRARY ST PASADENA CA 91104-1829,Single Family Residence,1,864,"8,400",1947,1947
162,27220 TURNBERRY LN VALENCIA CA 91355-0000,Commercial,,0,,,
163,1409 S ESPLANADE AVE REDONDO BEACH CA 90277-0000,Other Property Type,,0,,,
164,1719 S ESPLANADE AVE REDONDO BEACH CA 90277-5340,Other Property Type,,0,,,
165,1412 WINGFOOT CA 90746,Condominium,1,"1,940",,2023,2023
166,2558 SALE PL HUNTINGTON PARK CA 90255-6625,Single Family Residence,1,"1,443","5,000",1924,1949
167,9635 LUBAO AVE LOS ANGELES CA 91311-5509,Single Family Residence,1,"1,579","7,560",1957,1958
168,9360 REVERIE RD LOS ANGELES CA 91042-3020,Single Family Residence,1,"2,020","3,780",1997,1997
169,3614 WESLIN AVE LOS ANGELES CA 91423-4731,Single Family Residence,1,"2,354","7,952",1961,1962
170,1475 N DOHENY DR LOS ANGELES CA 90069-1159,Single Family Residence,,0,,,
171,4101 ROSEWOOD AVE LOS ANGELES CA 90004-2911,Institutional,0,"14,348",,1926,1926
172,11740 WETHERBY LN LOS ANGELES CA 90077-1348,Single Family Residence,1,"7,888","11,640",1997,1997
173,2542 BARRY AVE LOS ANGELES CA 90064-2810,Single Family Residence,1,"1,125","5,400",1947,1947
174,4018 MONROE ST LOS ANGELES CA 90029-2906,Multi-Family Residence,5,"3,081","9,300",1926,1977
175,2101 E PACIFIC COAST HWY LOS ANGELES CA 90744-2914,Industrial,,0,,,
176,12221 LA MAIDA ST LOS ANGELES CA 91607-3622,Single Family Residence,1,"1,419","7,800",1941,1941
177,12617 BARBARA ANN ST LOS ANGELES CA 91605-5346,Multi-Family Residence,4,"3,450","6,336",1956,1957
178,1552 LA BAIG AVE LOS ANGELES CA 90028-6406,Single Family Residence,1,"1,196","5,500",1913,1913
179,3350 DREW ST LOS ANGELES CA 90065-2480,Multi-Family Residence,12,"11,008","9,600",1988,1988
180,"21620 BURBANK BLVD, 8 LOS ANGELES CA 91367-6467",Condominium,1,"1,595",,1981,1981
181,1416 BECKWITH AVE LOS ANGELES CA 90049-3618,Single Family Residence,1,"6,922","11,659",2009,2009
182,10990 WILSHIRE BLVD LOS ANGELES CALIF 90024-0000,Commercial,,0,,,
183,1556 E 50TH ST LOS ANGELES CA 90011-4456,Multi-Family Residence,2,535,"5,400",1944,1944
184,311 E SANTA ANITA AVE BURBANK CA 91502-1453,Multi-Family Residence,1,450,,1931,1933
185,"9131 BURNET AVE, NO 1 LOS ANGELES CA 91343-2324",Condominium,1,"1,510",,1980,1980
186,"9131 BURNET AVE, NO 1 LOS ANGELES CA 91343-2324",Condominium,1,"1,510",,1980,1980
187,"9131 BURNET AVE, NO 1 LOS ANGELES CA 91343-2324",Condominium,1,"1,510",,1980,1980
188,"9131 BURNET AVE, NO 1 LOS ANGELES CA 91343-2324",Condominium,1,"1,510",,1980,1980
189,4657 WILLENS AVE LOS ANGELES CA 91364-3812,Single Family Residence,1,"2,610","10,400",1965,1966
190,4457 ELLENWOOD DR LOS ANGELES CA 90041-3216,Single Family Residence,1,"1,387","6,251",1930,1931
191,12445 VIEWCREST RD LOS ANGELES CA 91604-3655,Single Family Residence,1,"3,659","136,364",1947,1956
192,22633 LA ROCHELLE DR SANTA CLARITA CA 91350-1312,Single Family Residence,1,"1,247","7,560",1960,1960
193,435 LORRAINE BLVD LOS ANGELES CA 90020-4729,Single Family Residence,1,"5,004","18,000",1917,1927
194,2268 FINK ST LOS ANGELES CA 90068-2848,Single Family Residence,1,"2,030","6,468",1948,1978
195,"10521 NATIONAL BLVD, NO 101 LOS ANGELES CA 90034-3631",Condominium,0,"1,088",,1976,1976
196,11937 S LA CIENEGA BLVD HAWTHORNE CA 90250-3464,Single Family Residence,1,"1,458","6,864",1941,1950
197,203 S FORMOSA AVE LOS ANGELES CA 90036-2813,Single Family Residence,1,"1,770","7,700",1931,1934
198,300 FALCON ST LOS ANGELES CA 90744-6407,Industrial,0,"99,000","331,800",1945,1945
199,6353 LA MIRADA AVE LOS ANGELES CA 90038-1605,Single Family Residence,1,879,"2,856",1922,1932
200,401 S SAN PEDRO ST LOS ANGELES CA 90013-2118,Commercial,0,"4,372","2,420",1905,1915
201,2330 PONTIUS AVE LOS ANGELES CA 90064-1820,Commercial,0,"16,323",,1969,1990
202,1084 QUEEN ANNE PL LOS ANGELES CA 90019-1834,Single Family Residence,1,"1,859","6,545",1923,1940
203,10306 ILONA AVE LOS ANGELES CA 90064-2504,Single Family Residence,1,"2,640","5,850",1939,1945
204,12340 LA JARA LN CERRITOS CA 90703-8448,Single Family Residence,1,"1,480","5,000",1970,1970
205,1462 REEVES ST LOS ANGELES CA 90035-2961,Multi-Family Residence,4,"4,128",,1948,1948
206,1270 CASIANO RD LOS ANGELES CA 90049-1614,Single Family Residence,1,"3,034","24,150",1959,1966
207,22125 BLACKHAWK ST LOS ANGELES CA 91311-0398,Single Family Residence,1,"2,236","6,392",1999,1999
208,22103 BLACKHAWK ST LOS ANGELES CA 91311-0398,Single Family Residence,1,"2,236","5,035",1999,1999
209,1800 WINONA BLVD LOS ANGELES CA 90027-3836,Multi-Family Residence,56,"51,141","31,500",1959,1965
210,1470 SUNSET PLAZA DR LOS ANGELES CA 90069-1342,Single Family Residence,1,"2,240","6,864",1952,1980
211,2566 ABERDEEN AVE LOS ANGELES CA 90027-1220,Single Family Residence,1,"4,926","24,235",1928,1928
212,2601 GREEN OAK PL LOS ANGELES CA 90068-2507,Single Family Residence,1,"2,901","22,800",1950,1951
213,6050 W SUNSET BLVD LOS ANGELES CA 90028-6433,Industrial,0,"18,126",,1917,1932
214,13605 NORRIS AVE LOS ANGELES CA 91342-1128,Single Family Residence,1,"2,145","15,960",1960,1960
215,19120 STAGG ST LOS ANGELES CA 91335-1733,Single Family Residence,1,"1,477","8,160",1956,1956
216,1748 STONER AVE LOS ANGELES CA 90025-1813,Condominium,,0,,,
217,2744 CASIANO RD LOS ANGELES CA 90077-1510,Single Family Residence,1,"3,769","19,006",1971,1981
218,242 MABERY RD LOS ANGELES CA 90402-1206,Single Family Residence,,0,,,
219,1000 ELYSIAN PARK AVE LOS ANGELES CA 90012-1112,Recreational,,0,,,
220,4614 GLENALBYN DR LOS ANGELES CA 90065-5060,Single Family Residence,1,"2,583","5,900",1906,1980
221,1625 WOODS DR LOS ANGELES CA 90069-0000,Single Family Residence,,0,,,
222,18000 SCHOENBORN ST LOS ANGELES CA 91325-3851,Multi-Family Residence,6,"4,800",,1959,1959
223,7900 LA TIJERA BLVD LOS ANGELES CA 90045-3134,Commercial,1,"2,808",,1970,1980
224,4189 5TH AVE LOS ANGELES CA 90008-3936,Single Family Residence,1,"1,967","3,960",1929,1930
225,1663 SUMMITRIDGE DR LOS ANGELES CA 90210-1605,Single Family Residence,1,"3,981","24,850",1966,1985
226,6465 FOSTER BRIDGE BLVD BELL GARDENS CA 90201-1802,Multi-Family Residence,1,"1,069","6,250",1942,1978
227,5003 E 3RD ST LONG BEACH CA 90814-3108,Single Family Residence,1,660,"1,200",1923,1925
228,"448 S HILL ST, RM 01110 LOS ANGELES CA 90013-1138",Commercial,0,"142,042","12,000",1924,1935
229,"530 S HEWITT ST, NO 530 LOS ANGELES CA 90013-0000",Condominium,1,"1,160",,,
230,5711 SEPULVEDA BLVD LOS ANGELES CA 91411-2918,Commercial,,0,,,
231,4503 E LA CARA ST LONG BEACH CA 90815-2744,Single Family Residence,1,"1,314","6,200",1943,1944
232,12954 BLOOMFIELD ST LOS ANGELES CA 91604-1401,Single Family Residence,1,"3,423","8,500",1941,1977
233,5317 S VERMONT AVE LOS ANGELES CA 90037-3529,Commercial,0,"4,320","4,500",1924,1924
234,823 PALMS BLVD VENICE CA 90291-3850,Single Family Residence,1,"1,456","5,400",1924,1990
235,1471 TREMONT ST LOS ANGELES CA 90033-1537,Multi-Family Residence,9,"5,520",,1964,1964
236,4325 VERDUGO RD LOS ANGELES CA 90065-4826,Multi-Family Residence,3,"2,492",,1956,1956
237,625 WALTHER WAY LOS ANGELES CA 90049-2314,Single Family Residence,1,"8,446","31,296",1948,1978
238,1050 WAYS ST LOS ANGELES CA 90731-7360,Industrial,,0,,,
239,414 S ROSSMORE AVE LOS ANGELES CA 90020-4742,Single Family Residence,1,"4,906","19,000",1924,1924
240,11956 DOROTHY ST LOS ANGELES CA 90049-5312,Multi-Family Residence,9,"9,761",,1959,1959
241,19050 ASHURST LN LOS ANGELES CA 91356-5825,Single Family Residence,1,"6,935","34,136",2003,2008
242,501 S BIXEL ST LOS ANGELES CA 90017-2007,Commercial,,0,,,
243,7301 VINELAND AVE LOS ANGELES CA 91352-5012,Multi-Family Residence,6,"4,848",,1956,1956
244,7307 VINELAND AVE LOS ANGELES CA 91352-5014,Multi-Family Residence,6,"4,848",,1956,1956
245,15527 VIA DE LAS OLAS LOS ANGELES CA 90272-4637,Single Family Residence,1,"4,619","8,580",2002,2002
246,9772 BLANTYRE DR LOS ANGELES CA 90210-1127,Single Family Residence,1,"3,523","17,940",1967,1975
247,3924 PACHECO DR LOS ANGELES CA 91403-4419,Single Family Residence,1,"2,465","4,686",1990,1990
248,2402 E ANAHEIM ST LOS ANGELES CA 90744-4081,Industrial,0,"32,939",,1971,1971
249,54 NAVY ST LOS ANGELES CA 90291-2486,Single Family Residence,1,"1,760","2,910",1905,1930
250,910 NORDICA DR LOS ANGELES CA 90065-4213,Single Family Residence,1,"2,375",,2002,2002
251,10801 LA GRANGE AVE LOS ANGELES CA 90025-4620,Multi-Family Residence,6,"7,845",,1966,1967
252,365 N ROCKINGHAM AVE LOS ANGELES CA 90049-2635,Single Family Residence,1,"6,096","26,000",1936,1991
253,6710 WOODLEY AVE LOS ANGELES CA 91406-5967,Multi-Family Residence,26,"18,754",,1980,1980
254,1831 W WASHINGTON BLVD LOS ANGELES CA 90007-0000,Institutional,,0,,,
255,1100 S GLENDALE AVE GLENDALE CA 91205-3203,Commercial,6,"5,441",,1980,1980
256,4705 WHITSETT AVE LOS ANGELES CA 91604-1141,Single Family Residence,,0,,,
257,2224 LINCOLN BLVD LOS ANGELES CA 90031-0000,Commercial,0,"3,127","11,200",2002,2002
258,13150 TELFAIR AVE SYLMAR CA,Industrial,,0,,,
259,502 WESTMINSTER AVE LOS ANGELES CA 90291-3330,Multi-Family Residence,4,"2,728",,1959,1959
